==PROF== Connected to process 41560 (S:\kernel-lane\kernels\bin\matrix_tensor_optimized.exe)
==PROF== Disconnected from process 41560
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_baseline(const __half *, const __half *, float *, int, int, int)","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","","0"
"0","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_baseline(const __half *, const __half *, float *, int, int, int)","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum","","0"
"0","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_baseline(const __half *, const __half *, float *, int, int, int)","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","22.56"
"0","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_baseline(const __half *, const __half *, float *, int, int, int)","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","47.97"
"1","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_padded(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","","0"
"1","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_padded(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum","","0"
"1","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_padded(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","20.08"
"1","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_padded(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","90.50"
"2","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_async(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","","0"
"2","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_async(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum","","0"
"2","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_async(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","20.07"
"2","41560","matrix_tensor_optimized.exe","127.0.0.1","matrixMul_wmma_4warp_async(const __half *, const __half *, float *, int, int, int)","1","7","(32, 4, 1)","(64, 16, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","90.27"
