"Kernel Name","Kernel Duration (ns)","Grid Size","Block Size"
"kernel_sin(float *, int, int)","12450","(32, 1, 1)","(32, 1, 1)"
"kernel_sin(float *, int, int)","12420","(16, 1, 1)","(64, 1, 1)"
"kernel_sin(float *, int, int)","12450","(8, 1, 1)","(128, 1, 1)"
"kernel_sin(float *, int, int)","12480","(4, 1, 1)","(256, 1, 1)"
"kernel_sin(float *, int, int)","14910","(2, 1, 1)","(512, 1, 1)"
"kernel_sin(float *, int, int)","27680","(1, 1, 1)","(1024, 1, 1)"
"kernel_fma(float *, int, int)","3550","(32, 1, 1)","(32, 1, 1)"
"kernel_fma(float *, int, int)","4060","(16, 1, 1)","(64, 1, 1)"
"kernel_fma(float *, int, int)","3900","(8, 1, 1)","(128, 1, 1)"
"kernel_fma(float *, int, int)","3620","(4, 1, 1)","(256, 1, 1)"
"kernel_fma(float *, int, int)","4030","(2, 1, 1)","(512, 1, 1)"
"kernel_fma(float *, int, int)","5660","(1, 1, 1)","(1024, 1, 1)"
"kernel_mul(float *, int, int)","3550","(32, 1, 1)","(32, 1, 1)"
"kernel_mul(float *, int, int)","3580","(16, 1, 1)","(64, 1, 1)"
"kernel_mul(float *, int, int)","3620","(8, 1, 1)","(128, 1, 1)"
"kernel_mul(float *, int, int)","3680","(4, 1, 1)","(256, 1, 1)"
"kernel_mul(float *, int, int)","4060","(2, 1, 1)","(512, 1, 1)"
"kernel_mul(float *, int, int)","5730","(1, 1, 1)","(1024, 1, 1)"
"kernel_shared(float *, int, int)","3840","(32, 1, 1)","(32, 1, 1)"
"kernel_shared(float *, int, int)","3580","(16, 1, 1)","(64, 1, 1)"
"kernel_shared(float *, int, int)","3650","(8, 1, 1)","(128, 1, 1)"
"kernel_shared(float *, int, int)","3620","(4, 1, 1)","(256, 1, 1)"
"kernel_shared(float *, int, int)","3940","(2, 1, 1)","(512, 1, 1)"
"kernel_shared(float *, int, int)","5760","(1, 1, 1)","(1024, 1, 1)"
"kernel_sin(float *, int, int)","2940","(4, 1, 1)","(256, 1, 1)"
"kernel_sin(float *, int, int)","7140","(4, 1, 1)","(256, 1, 1)"
"kernel_sin(float *, int, int)","12580","(4, 1, 1)","(256, 1, 1)"
"kernel_sin(float *, int, int)","23100","(4, 1, 1)","(256, 1, 1)"
"kernel_sin(float *, int, int)","55070","(4, 1, 1)","(256, 1, 1)"
